codigo;titulo;tipo;revisao;data_revisao;data_aprovacao;setor;area;elaborador;revisor;aprovador;numero;descricao;proxima_revisao;data_validade;documentos_controlados
DOC.001;Técnicos de Manutenção - Laboratórios;DOC;0;27/09/2019;27/09/2019;;;;;;;;;;Não
DOC.011;Modelo Padrão para 5S;DOC;0;07/10/2020;03/12/2020;;;;;;;Modelo Padrão para descrever o 5S de cada posto.;08/07/2026;07/10/2026;Não
DOC.012;DA - Gerente de Laboratório;DOC;1;11/08/2021;21/10/2021;;;;;;;;01/04/2026;01/07/2026;Sim
DOC.013;DA - Gerente de Métodos e Processos;DOC;1;11/08/2021;21/10/2021;;;;;;;;01/04/2026;01/07/2026;Sim
DOC.014;DA - Analista de Processos;DOC;1;09/08/2021;08/10/2021;;;;;;;;01/04/2026;01/07/2026;Sim
DOC.015;DA - Coordenador de Processos;DOC;1;09/08/2021;21/10/2021;;;;;;;;01/04/2026;01/07/2026;Sim
DOC.016;DA - Abastecedor de Linha;DOC;1;11/08/2021;08/10/2021;;;;;;;;01/04/2026;01/07/2026;Sim
DOC.017;DA - Supervisor de Produção;DOC;1;11/08/2021;21/10/2021;;;;;;;;01/04/2026;01/07/2026;Sim
DOC.018;DA - Líder de Produção;DOC;1;11/08/2021;02/06/2022;;;;;;;;01/04/2026;01/07/2026;Sim
DOC.021;DA - Analista de Qualidade;DOC;1;09/08/2021;08/10/2021;;;;;;;;01/04/2026;01/07/2026;Sim
DOC.022;DA - Gerente de Qualidade;DOC;1;11/08/2021;21/10/2021;;;;;;;;01/04/2026;01/07/2026;Sim
DOC.023;DA - Técnico em Óptica;DOC;1;11/08/2021;08/10/2021;;;;;;;;01/04/2026;01/07/2026;Sim
DOC.024;DA - Assistente de Qualidade;DOC;1;09/08/2021;08/10/2021;;;;;;;;01/04/2026;01/07/2026;Sim
DOC.025;DA - Operador de Produção;DOC;1;11/08/2021;08/10/2021;;;;;;;;01/04/2026;01/07/2026;Sim
DOC.028;Padronização de Uniformes;DOC;3;06/07/2022;05/09/2022;;;;;;;;02/07/2026;01/10/2026;Sim
DOC.030;Carta Cliente - Autorização - Defeitos de Bloco - Brasil;DOC;0;01/09/2021;10/09/2021;;;;;;;;20/05/2026;20/08/2026;Sim
DOC.032;Política da Qualidade;DOC;1;08/04/2022;12/04/2022;;;;;;;;08/07/2026;07/10/2026;Sim
DOC.033;Fluxograma de Processos - LabRio;DOC;4;20/03/2025;21/03/2025;;;;;;;;21/03/2026;19/06/2026;Sim
DOC.035;Manual de Procedimentos - Garantias e Programas de Parceria;DOC;3;17/04/2025;03/11/2025;;;;;;;;03/11/2026;01/02/2027;Sim
DOC.036;Fluxograma de Processo Padrão - HMC;DOC;0;02/05/2022;13/05/2024;;;;;;;;13/05/2026;12/08/2026;Sim
DOC.037;Procedimento de Devolução de Lentes - Technopark;DOC;3;15/09/2025;19/09/2025;;;;;;;;19/09/2026;18/12/2026;Sim
DOC.038;Fluxograma de Processo Padrão - Surfaçagem;DOC;0;10/06/2022;13/05/2024;;;;;;;;13/05/2026;12/08/2026;Sim
DOC.039;Fluxograma de Processo Padrão - Montagem;DOC;0;13/06/2022;13/05/2024;;;;;;;;13/05/2026;12/08/2026;Sim
DOC.040;Diagrama de Flujo Estándar del Proceso - Montagem;DOC;0;29/06/2022;13/05/2024;;;;;;;;13/05/2026;12/08/2026;Sim
DOC.041;Diagrama de Flujo Estándar del Proceso - HMC;DOC;0;30/06/2022;13/05/2024;;;;;;;;13/05/2026;12/08/2026;Sim
DOC.042;Diagrama de Flujo Estándar del Proceso - Surfaçagem;DOC;0;30/06/2022;13/05/2024;;;;;;;;13/05/2026;12/08/2026;Sim
DOC.043;Fluxo de Atendimento de Chamado para Manutenção Preventiva e Corretiva - Lab Rio;DOC;0;10/08/2022;22/09/2022;;;;;;;;20/09/2025;21/12/2025;Sim
DOC.044;Procedimiento de Creación de Imagen HD;DOC;0;11/08/2022;11/08/2022;;;;;;;;11/08/2026;09/11/2026;Sim
DOC.045;Procedimento de Criação de Imagem HD;DOC;0;11/08/2022;11/08/2022;;;;;;;;11/08/2026;09/11/2026;Sim
DOC.046;Alinhamento de Repasse de Pedidos para Novos Laboratórios - Lab Rio;DOC;0;11/08/2022;18/08/2022;;;;;;;;20/09/2025;21/12/2025;Sim
DOC.047;Fluxograma de Processos - Grown;DOC;3;09/01/2025;12/02/2025;;;;;;;;12/02/2026;13/05/2026;Sim
DOC.048;Fluxograma de Processos - Repro;DOC;3;05/09/2025;24/10/2025;;;;;;;;24/10/2026;22/01/2027;Sim
DOC.050;Política de Compras de Suprimentos - Ceditop;DOC;0;16/11/2022;28/11/2022;;;;;;;;28/08/2026;27/11/2026;Sim
DOC.051;Política de Compras de Insumos - Ceditop;DOC;1;20/01/2023;25/01/2023;;;;;;;;18/05/2026;17/08/2026;Sim
DOC.052;Política de Compras de Peças - Ceditop;DOC;0;16/11/2022;28/11/2022;;;;;;;;28/11/2025;16/02/2026;Sim
DOC.053;Política de Compras - Repro;DOC;2;21/11/2025;26/11/2025;;;;;;;;26/11/2026;24/02/2027;Sim
DOC.054;Fluxograma de Processos - Ceditop;DOC;2;02/10/2024;16/10/2024;;;;;;;;16/10/2025;14/01/2026;Sim
DOC.055;Fluxograma de Processos - Sumaré CD;DOC;1;25/09/2023;03/10/2023;;;;;;;;02/10/2025;31/12/2025;Sim
DOC.057;Manual de Compras - Grown;DOC;4;02/10/2024;07/10/2024;;;;;;;;07/10/2025;05/01/2026;Sim
DOC.058;Comunicação com o Cliente - Lab Rio;DOC;0;06/12/2022;07/12/2022;;;;;;;;09/06/2026;08/09/2026;Sim
DOC.059;Recusa de Nota Fiscal - Technopark;DOC;1;02/02/2023;06/02/2023;;;;;;;;06/02/2026;25/04/2026;Sim
DOC.060;Manual de Compras - Technoaprk;DOC;2;16/02/2023;10/03/2023;;;;;;;Antigo DEX.185;17/05/2025;30/12/2025;Sim
DOC.063;Critérios de Conformidade Cosmética;DOC;13;19/11/2024;22/11/2024;;;;;;;;22/11/2025;20/02/2026;Sim
DOC.066;Manual de Compras - digiTOP;DOC;1;13/03/2025;17/03/2025;;;;;;;;17/03/2026;15/06/2026;Sim
DOC.067;Comunicação com o Cliente - Repro;DOC;0;11/05/2023;25/05/2023;;;;;;;;25/05/2026;24/08/2026;Sim
DOC.068;Fluxograma de Processos - digiTOP;DOC;3;30/04/2025;30/05/2025;;;;;;;;30/05/2026;28/08/2026;Sim
DOC.069;Descrição de Atividade - Utilização;DOC;0;01/06/2023;18/07/2023;;;;;;;;17/07/2026;16/10/2026;Sim
DOC.070;Fluxograma de Processos - Coating RS;DOC;0;19/06/2023;19/07/2023;;;;;;;;17/07/2026;16/10/2026;Sim
DOC.071;Fluxograma de Processos - Tecnolens;DOC;1;06/09/2023;11/09/2023;;;;;;;;10/09/2025;09/12/2025;Sim
DOC.073;Manual de Compras - Tecnolens;DOC;0;11/07/2023;19/07/2023;;;;;;;;17/07/2026;16/10/2026;Sim
DOC.074;Descrição de Atividade DA - Modelo;DOC;0;17/07/2023;17/07/2023;;;;;;;;16/07/2026;15/10/2026;Sim
